reference,nom,couleur,composition,texte_source
MH36598,"Soft model 36598 Axami",black,"Spandex 9 % polyamide 91 %","<Seductive, tied at the neck bra Stella Polare is an excellent proposition for everyday and special occasions. Sensually transparent and delicately soft, it is a dream come true for lingerie perfectly tailored to your body and your needs. The cups are covered with beautiful lace. The back is made of delicate mesh. Between cups coquettish bows. The model has a vertical underwire and three-position fastening with two hooks."
MH36600,"Semi-soft model 36600 Axami",black,"Cotton 19 % Spandex 5 % polyamide 55 % Polyurethane 13 % Polyester 8 %","<br/>Intriguing bra Corona Australe seduces the senses with transparent openwork lace. This model will highlight the beauty of your cleavage, guaranteeing you a spectacular look and irreplaceable comfort. It will make you feel seductive, sexy and feminine. The back is made of delicate mesh. A flirtatious bow between cups. The model is tied up at the neck, has detachable, adjustable straps, vertical whalebones and three-position two-hook fastening."
MH36601,"Corset model 36601 Axami",black,"Cotton 24 % Spandex 4 % polyamide 45 % Polyurethane 17 % Polyester 10 %","<br/>Intriguing bra Dorado surprises with half-corset cut and extremely sensual back. Perfectly works as an addition to low-cut creations. Detachable, adjustable straps and push-up magnifying inserts guarantee you a fantastic neckline! Golden embroidery adds sophistication and elegance. The model has vertical whalebones and hook-and-eye fastening at the back. The front is decorated with flirtatious big bows."
MH206200,"Shapewear Body model 206200 Casmir",black,,"Satin bodysuit finished with delicate lace and adjustable straps. Special elastic straps like in bras. The product does not cause allergies, does not discolor, does not dye when washed."
MH206201,"Sexy set model 206201 Casmir",black,"Spandex 10 % Polyamide 5 % Polyester 85 %","Stylish Victoria corset with soft, revealing cup breasts. Adjustable, non-detachable straps. Back closure with hooks, adjustable straps. The product is made of satin fabric and patterned, two-tone material. Includes sexy panties. Stockings are not included. 100% made in the EU. The product contains certified Oeko-Tex materials."
MH206202,"Shapewear Body model 206202 Casmir",black,,"Sexy erotic lingerie in the color of classic, deep black. The Casmir brand body is made of elastic and very pleasant material that perfectly fits the body. Padded cups beautifully accentuate the roundness of the bust. Deep front cut, back in thong style. Lingerie packaged in an elegant box. Produced in Poland."
MH206203,"Sexy set model 206203 Casmir",black,,"Sexy set Victoria. Soft bra, tempting straps, adjustable, non-detachable straps, back closure with hooks. Briefs included. The product is made of satin fabric and patterned, two-tone material. Produced in Poland. The product contains certified Oeko-Tex materials."
MH206204,"Sexy set model 206204 Casmir",black,,"Unique two-piece set that delights with its appearance. Definitely, this lingerie model is a guarantee of a sensual and tempting look. The beautiful top reinforced with underwires will make it difficult to take your eyes off you. The whole is topped with smooth panties. Produced in Poland."
MH206205,"Sexy set model 206205 Casmir",black,"Spandex 10 % Polyamide 5 % Polyester 85 %","Sensual satin, tight cut and underwired cups make Victoria's shirt fit perfectly to the silhouette and give it the desired, slim shape. Add to this rich decorations in the form of golden ornaments, seductive cutouts and voila! To complete the set, thongs. Perfect lingerie for a special occasion! Produced in Poland."
MH206206,"Shapewear Body model 206206 Casmir",pink,,"Sensual burgundy body, enriched with lace, beautifully frames the female body. Fitted material, lace, and a cut-out on the stomach seductively present the woman's assets. Classic elegance combined with a contemporary look, this is how Sylviana can be described."
MH206207,"Sexy set model 206207 Casmir",green,"Spandex 8 % polyamide 85 % Polyester 7 %","Extremely beautiful lingerie that the brand Casmir has to offer you. It looks insanely beautiful in every way. You will fall in love with it at first sight. The lingerie set consists of a bra, thong, and garter belt. The lace and satin in mint shade creates a simply phenomenal combination. Everything is perfected to perfection, superbly highlighting the beauty of the female body."
MH206208,"Sexy set model 206208 Casmir",green,"Spandex 8 % polyamide 85 % Polyester 7 %","Exceptionally beautiful Sidra corset with strings, which looks simply perfect in every way. Adjustable straps, boning in cups, and garter straps. The set is complemented by strings. The corset is made of mint, body-friendly material and beautiful black lace."
MH206209,"Sexy set model 206209 Casmir",green,"Spandex 8 % polyamide 85 % Polyester 7 %","Can sexy lingerie also be comfortable? Of course it can! This is exactly what the Sidra set is like. The contrasting combination of black lace and mint satin, comfortable hook closure and adjustable straps make the set perfect for both everyday wear and special occasions."
MH206210,"Sexy set model 206210 Casmir","navy blue",,"Elegance and classic style that harmonizes with contemporary color fantasy. Selina is exactly such a set. Delicate, navy satin perfectly fits the female body. A garter belt allows you to add stockings to the whole, thus creating a perfect set. The set is fastened with hooks, finished with lace, adjustable straps. Special elastic straps like in bras, adjustable garter closures. Thong included in the set."
MH206211,"Sexy set model 206211 Casmir","navy blue",,"Grenade and pastel pink - the perfect color combination. Feminine, but with a twist, sexy, but not intrusive. Adding to this the fancy lace cut, perfectly fitting material to the skin, and fancy cut panties, we get the perfect set. The Selina corset is lingerie in which every woman will feel comfortable and attractive. The set is finished with lace, adjustable straps. Special shoulder straps like in bras, adjustable garters for stockings. Thong included."
MH206212,"Sexy set model 206212 Casmir",black,,"A fancy set combining a bold open bust with charming, feminine lace. The open bra style enhances the breasts, while the underwires lift them, emphasizing the neckline. The set is perfect for women looking for a slightly crazy, but incredibly sexy proposition in their wardrobe. Open bra fastened with hooks, cups reinforced with underwires, adjustable straps. Sexy panties to match."
MH206213,"Sexy set model 206213 Casmir",black,,"Beautiful lingerie with a sensual accent? No one will pass indifferently by the Mirella set. Thanks to its sensual, original cut and extremely sexy lace, the set will conquer the heart of every woman! Adjustable straps. Sexy thong included."
MH206214,"Sexy set model 206214 Casmir",black,,"Bold, imaginative decorations, partially exposed cups, and sensual straps hugging the bust are elements that make up the somewhat frivolous and decidedly perverse character of the corset. The high-quality material makes the model ideal for bold, self-confident women who value high quality, comfort, and unconventional solutions in their wardrobe. Adjustable straps, adjustable garter fastenings, cups reinforced with underwires. Sexy thongs with thin straps complete the set."
MH206215,"Sexy set model 206215 Casmir",black,,"Beautiful lingerie with a sensual accent? That's exactly what the Mirella shirt is like. Seductive lace in an unusual color will awaken the senses of everyone. The unusual cut used in the back distinguishes the shirt from other lingerie. The shirt subtly adjusts to the body, emphasizing the advantages of the female silhouette. Adjustable straps on the shirt. Thong panties to match."
MH206216,"Shapewear Body model 206216 Casmir",black,,"Unusual cut, boldly cut bust part, and unconventional color combination create a perfect whole with incredibly attractive lace, which gives lingerie an incredibly feminine character. The model will be perfect for bold, confident women who like unusual solutions and are not afraid of novelty in their wardrobe. Adjustable straps, cups reinforced with underwires."
MH206217,"Sexy set model 206217 Casmir",black,,"Meredith set consists of three perfectly composed elements, a bra, a garter belt, and thongs. The whole set is made of black, elastic satin complemented by sensual lace and black tulle, with a touch of ferocity added by the open bra neckline, characterized by an open part of the bra. The present underwires allow for an unusual way of emphasizing the bust. The set is complemented by black body-hugging straps present on the belt and bra, giving the whole set a unique character. The set is fastened with hooks, the cups are reinforced with underwires, adjustable straps. The set is finished with lace, special elastic straps like on bras, adjustable fastenings for stockings. Thongs included in the set."
MH206218,"Sexy set model 206218 Casmir",black,,"What distinguishes the Meredith corset from other sets? Definitely bold, asymmetrical cuts of material enriched with sensual lace and classic black tulle. The whole is made of classic black satin. Appropriately tailored materials and a deep neckline highlight feminine assets and give the silhouette the desired, slim shape. Additionally, the straps placed on the neckline sensually surround the bust, giving the corset an unexpected, sensual character. The set fastens with hooks, finished with lace. Cups reinforced with boning, adjustable straps. Special elastic straps like on bras. Adjustable garter closures. Thong included."
MH206219,"Sexy set model 206219 Casmir",black,,"Meredith chemise is a bold proposition for confident women. Made entirely of black satin and sensual lace delicately surrounding the body. Sensuality is added by the cut, which seductively reveals the female body. The whole is complemented by black straps hugging the body. The set fastens with hooks, finished with lace. Adjustable straps, special strap elastic like on bras. Thong included."
MH206220,"Shapewear Body model 206220 Casmir",black,,"How to stimulate the senses to the limit? By revealing the element of desire in an unexpected way. This is how the sensational Meredith body works on the senses, whose lace elements subtly uncover the female body, while the straps fancifully surround the bust and hips. The exceptional sensuality is sealed by the reinforced open bra neckline revealing what is a woman's greatest asset. Set fastened with hooks. Cups reinforced with boning, adjustable straps. Set finished with lace. Special elastic straps like on bras, open bra type bra cups."
